EventTime,MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventType,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y
31.17,1,Huskies,Huskies_G1,,1H,Free Kick,Goal kick,0.0,0.0,66.0,89.0
33.73,1,Opponent1,Opponent1_D1,,1H,Duel,Air duel,34.0,11.0,22.0,0.0
33.81,1,Huskies,Huskies_F1,,1H,Duel,Air duel,66.0,89.0,78.0,100.0
42.61,1,Opponent1,Opponent1_D2,,1H,Free Kick,Throw in,22.0,0.0,66.0,3.0
46.32,1,Huskies,Huskies_D1,Huskies_F1,1H,Pass,Head pass,34.0,97.0,59.0,95.0
47.0,1,Huskies,Huskies_F1,,1H,Duel,Ground loose ball duel,59.0,95.0,64.0,94.0
47.21,1,Opponent1,Opponent1_D1,,1H,Duel,Ground loose ball duel,41.0,5.0,36.0,6.0
48.49,1,Opponent1,Opponent1_M1,,1H,Pass,Simple pass,36.0,6.0,45.0,5.0
49.88,1,Huskies,Huskies_F1,,1H,Pass,Head pass,55.0,95.0,57.0,93.0
50.11,1,Opponent1,Opponent1_D1,,1H,Duel,Ground loose ball duel,43.0,7.0,47.0,11.0
51.02,1,Huskies,Huskies_M1,Huskies_F2,1H,Pass,Simple pass,53.0,89.0,69.0,91.0
51.62,1,Huskies,Huskies_F2,,1H,Pass,Simple pass,69.0,91.0,75.0,100.0
62.22,1,Opponent1,Opponent1_D2,,1H,Free Kick,Throw in,30.0,0.0,40.0,0.0
85.96,1,Huskies,Huskies_F1,,1H,Free Kick,Throw in,65.0,100.0,81.0,84.0
89.01,1,Opponent1,Opponent1_D2,Opponent1_G1,1H,Pass,Simple pass,19.0,16.0,5.0,50.0
92.22,1,Opponent1,Opponent1_G1,Opponent1_F1,1H,Pass,Launch,5.0,50.0,67.0,44.0
95.98,1,Opponent1,Opponent1_F1,,1H,Duel,Air duel,67.0,44.0,58.0,45.0
96.95,1,Huskies,Huskies_D2,,1H,Duel,Air duel,33.0,56.0,42.0,55.0
98.27,1,Huskies,Huskies_M2,Huskies_M3,1H,Pass,Simple pass,42.0,55.0,36.0,54.0
99.4,1,Huskies,Huskies_M3,,1H,Pass,Simple pass,36.0,54.0,36.0,63.0
99.76,1,Opponent1,Opponent1_M1,,1H,Pass,Simple pass,64.0,37.0,70.0,5.0
103.36,1,Huskies,Huskies_D1,,1H,Pass,High pass,30.0,95.0,72.0,97.0
105.0,1,Opponent1,Opponent1_D1,,1H,Duel,Air duel,28.0,3.0,39.0,7.0
106.14,1,Huskies,Huskies_F1,,1H,Duel,Air duel,72.0,97.0,61.0,93.0
107.85,1,Opponent1,Opponent1_M1,,1H,Pass,Simple pass,39.0,7.0,27.0,2.0
108.29,1,Huskies,Huskies_F1,,1H,Others on the ball,Touch,73.0,98.0,70.0,89.0
109.03,1,Opponent1,Opponent1_D1,Opponent1_F2,1H,Pass,Simple pass,30.0,11.0,31.0,22.0
111.03,1,Opponent1,Opponent1_F2,Opponent1_D2,1H,Pass,Simple pass,31.0,22.0,27.0,23.0
112.86,1,Opponent1,Opponent1_D2,Opponent1_M1,1H,Pass,High pass,27.0,23.0,36.0,6.0
115.29,1,Opponent1,Opponent1_M1,,1H,Pass,Simple pass,36.0,6.0,35.0,2.0
116.88,1,Huskies,Huskies_F1,,1H,Others on the ball,Touch,65.0,98.0,66.0,100.0
127.73,1,Opponent1,Opponent1_D2,,1H,Free Kick,Throw in,34.0,0.0,66.0,9.0
130.66,1,Huskies,Huskies_D1,Huskies_F1,1H,Pass,Head pass,34.0,91.0,52.0,97.0
134.6,1,Huskies,Huskies_F1,,1H,Duel,Ground defending duel,52.0,97.0,47.0,100.0
148.69,1,Opponent1,Opponent1_D1,,1H,Free Kick,Throw in,53.0,0.0,48.0,12.0
151.85,1,Opponent1,Opponent1_F2,Opponent1_D3,1H,Pass,Simple pass,48.0,12.0,46.0,56.0
154.64,1,Opponent1,Opponent1_D3,Opponent1_M2,1H,Pass,Simple pass,46.0,56.0,56.0,68.0
158.52,1,Opponent1,Opponent1_M2,,1H,Pass,High pass,56.0,68.0,86.0,35.0
161.22,1,Huskies,Huskies_D1,Huskies_G1,1H,Pass,Simple pass,14.0,65.0,11.0,50.0
164.63,1,Huskies,Huskies_G1,Huskies_G1,1H,Pass,Hand pass,11.0,50.0,5.0,45.0
169.31,1,Huskies,Huskies_G1,,1H,Pass,Launch,5.0,45.0,47.0,89.0
171.94,1,Opponent1,Opponent1_D1,,1H,Duel,Air duel,53.0,11.0,91.0,18.0
176.84,1,Huskies,Huskies_G1,,1H,Pass,Launch,9.0,82.0,62.0,91.0
180.25,1,Opponent1,Opponent1_D1,,1H,Duel,Air duel,38.0,9.0,59.0,14.0
180.83,1,Huskies,Huskies_F1,,1H,Duel,Air duel,62.0,91.0,41.0,86.0
183.46,1,Huskies,Huskies_M3,,1H,Others on the ball,Touch,41.0,86.0,35.0,90.0
183.99,1,Huskies,Huskies_D1,,1H,Duel,Ground loose ball duel,35.0,90.0,28.0,94.0
184.28,1,Opponent1,Opponent1_M1,,1H,Duel,Ground loose ball duel,65.0,10.0,72.0,6.0
188.33,1,Huskies,Huskies_D1,,1H,Others on the ball,Touch,28.0,94.0,32.0,90.0
188.66,1,Opponent1,Opponent1_M1,,1H,Duel,Ground attacking duel,68.0,10.0,75.0,0.0
190.33,1,Huskies,Huskies_D1,,1H,Duel,Ground defending duel,32.0,90.0,25.0,100.0
201.19,1,Huskies,Huskies_D1,,1H,Free Kick,Throw in,25.0,100.0,39.0,95.0
203.18,1,Huskies,Huskies_F2,,1H,Duel,Ground attacking duel,39.0,95.0,44.0,95.0
203.34,1,Opponent1,Opponent1_M1,,1H,Duel,Ground defending duel,61.0,5.0,56.0,5.0
206.6,1,Huskies,Huskies_F2,,1H,Duel,Ground defending duel,44.0,95.0,44.0,94.0
206.87,1,Opponent1,Opponent1_M1,,1H,Duel,Ground attacking duel,56.0,5.0,56.0,6.0
209.47,1,Huskies,Huskies_F2,,1H,Foul,Foul,44.0,94.0,44.0,95.0
236.08,1,Opponent1,Opponent1_D1,,1H,Free Kick,Free kick cross,59.0,9.0,100.0,100.0
238.03,1,Huskies,Huskies_G1,,1H,Goalkeeper leaving line,Goalkeeper leaving line,0.0,0.0,41.0,91.0
239.48,1,Opponent1,Opponent1_F3,,1H,Duel,Air duel,89.0,59.0,74.0,67.0
239.99,1,Huskies,Huskies_G1,,1H,Duel,Air duel,11.0,41.0,26.0,33.0
240.31,1,Opponent1,Opponent1_M3,,1H,Duel,Air duel,74.0,67.0,83.0,8.0
240.71,1,Huskies,Huskies_M2,,1H,Duel,Air duel,26.0,33.0,17.0,92.0
247.47,1,Huskies,Huskies_D1,Huskies_D2,1H,Pass,Simple pass,17.0,92.0,22.0,62.0
249.69,1,Huskies,Huskies_D2,Huskies_D3,1H,Pass,Simple pass,22.0,62.0,19.0,24.0
251.51,1,Huskies,Huskies_D3,Huskies_G1,1H,Pass,Simple pass,19.0,24.0,8.0,45.0
257.3,1,Huskies,Huskies_G1,Huskies_D3,1H,Pass,Simple pass,8.0,45.0,19.0,13.0
259.61,1,Huskies,Huskies_D3,Huskies_G1,1H,Pass,Simple pass,19.0,13.0,12.0,38.0
263.91,1,Huskies,Huskies_G1,,1H,Pass,Launch,12.0,38.0,68.0,93.0
266.64,1,Opponent1,Opponent1_D1,,1H,Duel,Air duel,32.0,7.0,36.0,0.0
267.58,1,Huskies,Huskies_F1,,1H,Duel,Air duel,68.0,93.0,64.0,100.0
286.5,1,Huskies,Huskies_D2,Huskies_D3,1H,Pass,Simple pass,48.0,50.0,55.0,24.0
288.28,1,Huskies,Huskies_D3,Huskies_D4,1H,Pass,Simple pass,55.0,24.0,60.0,5.0
291.12,1,Huskies,Huskies_D4,Huskies_D3,1H,Pass,Simple pass,60.0,5.0,33.0,21.0
294.67,1,Huskies,Huskies_D3,Huskies_G1,1H,Pass,Simple pass,33.0,21.0,15.0,70.0
298.52,1,Huskies,Huskies_G1,Huskies_F1,1H,Pass,High pass,15.0,70.0,60.0,99.0
301.88,1,Huskies,Huskies_F1,,1H,Duel,Air duel,60.0,99.0,59.0,100.0
314.68,1,Opponent1,Opponent1_D2,,1H,Free Kick,Throw in,41.0,0.0,70.0,7.0
317.0,1,Opponent1,Opponent1_F1,,1H,Duel,Air duel,70.0,7.0,55.0,12.0
317.43,1,Huskies,Huskies_D1,,1H,Duel,Air duel,30.0,93.0,45.0,88.0
318.88,1,Opponent1,Opponent1_M1,Opponent1_D1,1H,Pass,Simple pass,55.0,12.0,62.0,9.0
320.77,1,Opponent1,Opponent1_D1,,1H,Pass,Simple pass,62.0,9.0,73.0,4.0
321.89,1,Huskies,Huskies_D1,,1H,Others on the ball,Touch,27.0,96.0,30.0,95.0
323.97,1,Huskies,Huskies_M1,,1H,Duel,Ground defending duel,30.0,95.0,19.0,98.0
324.3,1,Opponent1,Opponent1_F1,,1H,Duel,Ground attacking duel,70.0,5.0,81.0,2.0
325.78,1,Huskies,Huskies_D1,Huskies_M3,1H,Pass,Simple pass,19.0,98.0,35.0,86.0
329.57,1,Huskies,Huskies_M3,Huskies_M1,1H,Pass,Simple pass,35.0,86.0,30.0,97.0
331.79,1,Huskies,Huskies_M1,,1H,Pass,Simple pass,30.0,97.0,48.0,87.0
332.3,1,Opponent1,Opponent1_M1,,1H,Others on the ball,Touch,52.0,13.0,47.0,0.0
342.43,1,Huskies,Huskies_M1,,1H,Free Kick,Throw in,61.0,100.0,66.0,93.0
343.78,1,Huskies,Huskies_F3,,1H,Others on the ball,Touch,66.0,93.0,53.0,89.0
344.97,1,Opponent1,Opponent1_F2,,1H,Duel,Ground loose ball duel,47.0,11.0,52.0,14.0
345.48,1,Huskies,Huskies_F3,,1H,Duel,Ground loose ball duel,53.0,89.0,48.0,86.0
346.1,1,Opponent1,Opponent1_F1,,1H,Pass,Simple pass,52.0,14.0,53.0,41.0
349.65,1,Huskies,Huskies_M2,Huskies_D3,1H,Pass,Simple pass,47.0,59.0,47.0,27.0
352.6,1,Huskies,Huskies_D3,Huskies_M3,1H,Pass,Simple pass,47.0,27.0,45.0,40.0
354.42,1,Huskies,Huskies_M3,Huskies_D3,1H,Pass,Simple pass,45.0,40.0,47.0,12.0
356.39,1,Huskies,Huskies_D3,,1H,Pass,High pass,47.0,12.0,99.0,9.0
376.49,1,Opponent1,Opponent1_G1,,1H,Free Kick,Goal kick,100.0,100.0,19.0,68.0
380.02,1,Opponent1,Opponent1_D4,Opponent1_M3,1H,Pass,Simple pass,19.0,68.0,27.0,65.0
380.84,1,Opponent1,Opponent1_M3,Opponent1_D3,1H,Pass,Simple pass,27.0,65.0,27.0,90.0
383.04,1,Opponent1,Opponent1_D3,,1H,Others on the ball,Touch,27.0,90.0,49.0,90.0
386.39,1,Opponent1,Opponent1_D3,,1H,Pass,High pass,49.0,90.0,92.0,45.0
390.71,1,Huskies,Huskies_G1,Huskies_D1,1H,Pass,Hand pass,8.0,55.0,25.0,94.0
395.61,1,Huskies,Huskies_D1,Huskies_D2,1H,Pass,Simple pass,25.0,94.0,24.0,55.0
398.39,1,Huskies,Huskies_D2,Huskies_D3,1H,Pass,Simple pass,24.0,55.0,24.0,20.0
401.47,1,Huskies,Huskies_D3,Huskies_M2,1H,Pass,Simple pass,24.0,20.0,33.0,20.0
402.51,1,Huskies,Huskies_M2,Huskies_M3,1H,Pass,Simple pass,33.0,20.0,33.0,35.0
403.23,1,Huskies,Huskies_M3,Huskies_D3,1H,Pass,Simple pass,33.0,35.0,24.0,24.0
405.51,1,Huskies,Huskies_D3,Huskies_D2,1H,Pass,Simple pass,24.0,24.0,29.0,68.0
409.4,1,Huskies,Huskies_D2,Huskies_D1,1H,Pass,Simple pass,29.0,68.0,25.0,88.0
411.01,1,Huskies,Huskies_D1,Huskies_M1,1H,Pass,Simple pass,25.0,88.0,31.0,99.0
413.9,1,Huskies,Huskies_M1,Huskies_D1,1H,Pass,Simple pass,31.0,99.0,27.0,88.0
415.52,1,Huskies,Huskies_D1,Huskies_D2,1H,Pass,Simple pass,27.0,88.0,29.0,53.0
417.78,1,Huskies,Huskies_D2,Huskies_D3,1H,Pass,Simple pass,29.0,53.0,37.0,14.0
421.15,1,Huskies,Huskies_D3,Huskies_M2,1H,Pass,Simple pass,37.0,14.0,42.0,16.0
423.25,1,Huskies,Huskies_M2,Huskies_D2,1H,Pass,Simple pass,42.0,16.0,36.0,54.0
426.78,1,Huskies,Huskies_D2,Huskies_D1,1H,Pass,Simple pass,36.0,54.0,32.0,85.0
429.55,1,Huskies,Huskies_D1,Huskies_F2,1H,Pass,Simple pass,32.0,85.0,59.0,67.0
430.17,1,Huskies,Huskies_F2,,1H,Duel,Ground loose ball duel,59.0,67.0,58.0,70.0
430.18,1,Opponent1,Opponent1_M1,,1H,Duel,Ground loose ball duel,41.0,33.0,42.0,30.0
432.04,1,Opponent1,Opponent1_M3,Opponent1_F2,1H,Pass,Simple pass,42.0,30.0,47.0,50.0
435.13,1,Opponent1,Opponent1_F2,Opponent1_D3,1H,Pass,Simple pass,47.0,50.0,41.0,54.0
437.28,1,Opponent1,Opponent1_D3,Opponent1_G1,1H,Pass,Simple pass,41.0,54.0,14.0,55.0
440.93,1,Opponent1,Opponent1_G1,Opponent1_D3,1H,Pass,Simple pass,14.0,55.0,36.0,85.0
446.43,1,Opponent1,Opponent1_D3,Opponent1_M3,1H,Pass,Simple pass,36.0,85.0,41.0,70.0
448.82,1,Opponent1,Opponent1_M3,Opponent1_D2,1H,Pass,Simple pass,41.0,70.0,51.0,13.0
452.25,1,Opponent1,Opponent1_D2,Opponent1_D1,1H,Pass,High pass,51.0,13.0,84.0,12.0
457.04,1,Opponent1,Opponent1_D1,,1H,Offside,,84.0,12.0,100.0,100.0
469.36,1,Huskies,Huskies_D1,,1H,Free Kick,Free Kick,23.0,92.0,38.0,74.0
470.53,1,Huskies,Huskies_M3,Huskies_D1,1H,Pass,Simple pass,38.0,74.0,23.0,81.0
472.35,1,Huskies,Huskies_D1,Huskies_D2,1H,Pass,Simple pass,23.0,81.0,33.0,56.0
475.82,1,Huskies,Huskies_D2,Huskies_D3,1H,Pass,Simple pass,33.0,56.0,31.0,16.0
478.06,1,Huskies,Huskies_D3,Huskies_D2,1H,Pass,Simple pass,31.0,16.0,35.0,59.0
483.46,1,Huskies,Huskies_D2,Huskies_M3,1H,Pass,Simple pass,35.0,59.0,37.0,42.0
486.9,1,Huskies,Huskies_M3,Huskies_D2,1H,Pass,Simple pass,37.0,42.0,41.0,84.0
488.64,1,Huskies,Huskies_D2,Huskies_M1,1H,Pass,Simple pass,41.0,84.0,49.0,97.0
492.91,1,Huskies,Huskies_M1,Huskies_D1,1H,Pass,Simple pass,49.0,97.0,40.0,86.0
495.2,1,Huskies,Huskies_D1,Huskies_D2,1H,Pass,Simple pass,40.0,86.0,43.0,46.0
499.18,1,Huskies,Huskies_D2,Huskies_D3,1H,Pass,Simple pass,43.0,46.0,44.0,13.0
502.13,1,Huskies,Huskies_D3,,1H,Pass,Simple pass,44.0,13.0,46.0,16.0
504.4,1,Opponent1,Opponent1_F3,Opponent1_F2,1H,Pass,Simple pass,54.0,84.0,55.0,48.0
506.68,1,Opponent1,Opponent1_F2,Opponent1_M2,1H,Pass,Simple pass,55.0,48.0,55.0,32.0
510.87,1,Opponent1,Opponent1_M2,Opponent1_D1,1H,Pass,Simple pass,55.0,32.0,43.0,28.0
512.29,1,Opponent1,Opponent1_D1,Opponent1_D2,1H,Pass,Simple pass,43.0,28.0,41.0,38.0
515.23,1,Opponent1,Opponent1_D2,,1H,Others on the ball,Touch,41.0,38.0,61.0,52.0
516.92,1,Opponent1,Opponent1_D2,Opponent1_M3,1H,Pass,Simple pass,61.0,52.0,57.0,86.0
520.31,1,Opponent1,Opponent1_M3,Opponent1_F3,1H,Pass,Smart pass,57.0,86.0,99.0,72.0
521.96,1,Opponent1,Opponent1_F3,,1H,Pass,Cross,99.0,72.0,100.0,100.0
525.39,1,Huskies,Huskies_G1,,1H,Save attempt,Save attempt,0.0,0.0,1.0,28.0
560.07,1,Opponent1,Opponent1_M2,,1H,Free Kick,Corner,100.0,100.0,97.0,58.0
564.35,1,Huskies,Huskies_F2,,1H,Others on the ball,Clearance,3.0,42.0,0.0,49.0
601.19,1,Opponent1,Opponent1_M2,,1H,Free Kick,Corner,100.0,2.0,92.0,37.0
603.68,1,Huskies,Huskies_F2,,1H,Others on the ball,Clearance,8.0,63.0,38.0,32.0
605.78,1,Opponent1,Opponent1_M3,Opponent1_D1,1H,Pass,Simple pass,62.0,68.0,55.0,29.0
607.67,1,Opponent1,Opponent1_D1,Opponent1_M1,1H,Pass,Simple pass,55.0,29.0,60.0,27.0
609.74,1,Opponent1,Opponent1_M1,Opponent1_M2,1H,Pass,Simple pass,60.0,27.0,71.0,8.0
611.63,1,Opponent1,Opponent1_M2,Opponent1_F2,1H,Pass,Simple pass,71.0,8.0,67.0,14.0
614.12,1,Opponent1,Opponent1_F2,Opponent1_M2,1H,Pass,Smart pass,67.0,14.0,90.0,7.0
617.46,1,Opponent1,Opponent1_M2,,1H,Duel,Ground attacking duel,90.0,7.0,93.0,7.0
619.15,1,Huskies,Huskies_F1,,1H,Duel,Ground defending duel,10.0,93.0,7.0,93.0
621.48,1,Opponent1,Opponent1_M2,,1H,Duel,Ground defending duel,93.0,7.0,94.0,16.0
626.52,1,Huskies,Huskies_M1,,1H,Pass,High pass,6.0,84.0,47.0,85.0
628.55,1,Opponent1,Opponent1_D2,Opponent1_F2,1H,Pass,Head pass,53.0,15.0,75.0,10.0
630.79,1,Opponent1,Opponent1_F2,,1H,Pass,Simple pass,75.0,10.0,69.0,32.0
632.3,1,Huskies,Huskies_D2,,1H,Duel,Ground loose ball duel,31.0,68.0,35.0,61.0
633.12,1,Opponent1,Opponent1_F1,,1H,Duel,Ground loose ball duel,69.0,32.0,65.0,39.0
634.32,1,Huskies,Huskies_D2,Huskies_F2,1H,Pass,Simple pass,35.0,61.0,32.0,72.0
634.79,1,Huskies,Huskies_F2,,1H,Duel,Ground loose ball duel,32.0,72.0,26.0,69.0
634.8,1,Opponent1,Opponent1_M1,,1H,Duel,Ground loose ball duel,68.0,28.0,74.0,31.0
635.81,1,Opponent1,Opponent1_M1,,1H,Pass,Simple pass,74.0,31.0,71.0,32.0
636.69,1,Huskies,Huskies_D2,,1H,Duel,Ground defending duel,29.0,68.0,20.0,67.0
638.16,1,Opponent1,Opponent1_F1,,1H,Duel,Ground attacking duel,71.0,32.0,80.0,33.0
638.72,1,Huskies,Huskies_D1,Huskies_D3,1H,Pass,Simple pass,20.0,67.0,22.0,37.0
639.54,1,Huskies,Huskies_D3,,1H,Others on the ball,Touch,22.0,37.0,41.0,42.0
644.85,1,Huskies,Huskies_D3,Huskies_M3,1H,Pass,Simple pass,41.0,42.0,44.0,35.0
648.45,1,Huskies,Huskies_M3,Huskies_M2,1H,Pass,Simple pass,44.0,35.0,58.0,25.0
648.79,1,Huskies,Huskies_M2,Huskies_M3,1H,Pass,Simple pass,58.0,25.0,44.0,45.0
654.27,1,Huskies,Huskies_M3,Huskies_D1,1H,Pass,Simple pass,44.0,45.0,45.0,88.0
656.79,1,Huskies,Huskies_D1,Huskies_M1,1H,Pass,Simple pass,45.0,88.0,46.0,66.0
658.98,1,Huskies,Huskies_M1,Huskies_D2,1H,Pass,Simple pass,46.0,66.0,35.0,53.0
660.93,1,Huskies,Huskies_D2,Huskies_D3,1H,Pass,Simple pass,35.0,53.0,36.0,26.0
662.82,1,Huskies,Huskies_D3,Huskies_D4,1H,Pass,Simple pass,36.0,26.0,44.0,9.0
664.19,1,Huskies,Huskies_D4,Huskies_D3,1H,Pass,Simple pass,44.0,9.0,29.0,28.0
666.4,1,Huskies,Huskies_D3,Huskies_D1,1H,Pass,Simple pass,29.0,28.0,30.0,88.0
670.79,1,Huskies,Huskies_D1,Huskies_M1,1H,Pass,Simple pass,30.0,88.0,54.0,98.0
672.49,1,Huskies,Huskies_M1,Huskies_D1,1H,Pass,Simple pass,54.0,98.0,40.0,88.0
677.03,1,Huskies,Huskies_D1,Huskies_D2,1H,Pass,Simple pass,40.0,88.0,39.0,58.0
679.63,1,Huskies,Huskies_D2,Huskies_D3,1H,Pass,Simple pass,39.0,58.0,42.0,22.0
681.35,1,Huskies,Huskies_D3,Huskies_D4,1H,Pass,Simple pass,42.0,22.0,45.0,7.0
683.98,1,Huskies,Huskies_D4,,1H,Pass,High pass,45.0,7.0,86.0,29.0
687.07,1,Opponent1,Opponent1_G1,,1H,Others on the ball,Touch,14.0,71.0,13.0,69.0
694.41,1,Opponent1,Opponent1_G1,Opponent1_D3,1H,Pass,Hand pass,13.0,69.0,28.0,96.0
698.0,1,Opponent1,Opponent1_D3,Opponent1_M2,1H,Pass,Simple pass,28.0,96.0,32.0,91.0
699.27,1,Opponent1,Opponent1_M2,Opponent1_G1,1H,Pass,Simple pass,32.0,91.0,9.0,64.0
701.25,1,Opponent1,Opponent1_G1,,1H,Others on the ball,Clearance,9.0,64.0,14.0,100.0
716.08,1,Huskies,Huskies_D4,,1H,Free Kick,Throw in,88.0,0.0,88.0,10.0
717.48,1,Huskies,Huskies_M2,Huskies_D4,1H,Pass,Simple pass,88.0,10.0,94.0,5.0
719.44,1,Huskies,Huskies_D4,Huskies_M2,1H,Pass,Simple pass,94.0,5.0,82.0,5.0
721.2,1,Huskies,Huskies_M2,,1H,Pass,Simple pass,82.0,5.0,88.0,27.0
721.76,1,Opponent1,Opponent1_M1,,1H,Duel,Ground loose ball duel,12.0,73.0,16.0,70.0
721.77,1,Huskies,Huskies_F2,,1H,Duel,Ground loose ball duel,88.0,27.0,84.0,30.0
723.55,1,Huskies,Huskies_F3,,1H,Duel,Ground attacking duel,84.0,30.0,83.0,45.0
724.44,1,Opponent1,Opponent1_D4,,1H,Duel,Ground defending duel,16.0,70.0,17.0,55.0
725.76,1,Huskies,Huskies_F3,,1H,Shot,Shot,83.0,45.0,0.0,0.0
755.18,1,Opponent1,Opponent1_G1,,1H,Free Kick,Goal kick,100.0,100.0,74.0,95.0
761.45,1,Opponent1,Opponent1_M2,,1H,Pass,Simple pass,74.0,95.0,69.0,96.0
763.94,1,Huskies,Huskies_M3,Huskies_D3,1H,Pass,Simple pass,31.0,4.0,26.0,15.0
766.38,1,Huskies,Huskies_D3,Huskies_D2,1H,Pass,Simple pass,26.0,15.0,28.0,46.0
768.96,1,Huskies,Huskies_D2,Huskies_D1,1H,Pass,Simple pass,28.0,46.0,27.0,75.0
770.16,1,Huskies,Huskies_D1,,1H,Others on the ball,Touch,27.0,75.0,43.0,78.0
773.4,1,Huskies,Huskies_D1,,1H,Pass,High pass,43.0,78.0,73.0,100.0
788.51,1,Opponent1,Opponent1_D2,,1H,Free Kick,Throw in,26.0,0.0,44.0,13.0
792.59,1,Opponent1,Opponent1_F2,,1H,Duel,Ground attacking duel,44.0,13.0,37.0,7.0
793.18,1,Opponent1,Opponent1_D1,,1H,Pass,Head pass,37.0,7.0,56.0,12.0
793.29,1,Huskies,Huskies_D1,,1H,Duel,Ground defending duel,56.0,87.0,44.0,88.0
794.79,1,Opponent1,Opponent1_F1,,1H,Duel,Air duel,56.0,12.0,56.0,15.0
795.15,1,Huskies,Huskies_D2,,1H,Duel,Air duel,44.0,88.0,44.0,85.0
797.65,1,Huskies,Huskies_D2,,1H,Foul,Foul,44.0,85.0,44.0,88.0
825.83,1,Opponent1,Opponent1_D1,,1H,Free Kick,Free Kick,55.0,9.0,89.0,47.0
829.86,1,Huskies,Huskies_D2,,1H,Duel,Air duel,11.0,53.0,24.0,56.0
829.87,1,Opponent1,Opponent1_F1,,1H,Duel,Air duel,89.0,47.0,76.0,44.0
830.74,1,Opponent1,Opponent1_M3,,1H,Others on the ball,Touch,76.0,44.0,80.0,46.0
831.33,1,Huskies,Huskies_M1,Huskies_F2,1H,Pass,Simple pass,20.0,54.0,23.0,63.0
833.17,1,Huskies,Huskies_F2,Huskies_F1,1H,Pass,Head pass,23.0,63.0,31.0,97.0
835.14,1,Huskies,Huskies_F1,,1H,Duel,Ground attacking duel,31.0,97.0,32.0,88.0
836.82,1,Opponent1,Opponent1_F2,,1H,Duel,Ground attacking duel,68.0,12.0,67.0,5.0
837.62,1,Huskies,Huskies_F1,,1H,Duel,Ground defending duel,32.0,88.0,33.0,95.0
840.03,1,Huskies,Huskies_F1,,1H,Foul,Foul,33.0,95.0,32.0,88.0
864.58,1,Opponent1,Opponent1_M2,,1H,Free Kick,Free kick cross,72.0,4.0,89.0,65.0
868.74,1,Opponent1,Opponent1_D4,,1H,Duel,Air duel,89.0,65.0,87.0,65.0
869.21,1,Opponent1,Opponent1_D4,,1H,Duel,Air duel,87.0,65.0,76.0,65.0
871.51,1,Opponent1,Opponent1_M3,,1H,Shot,Shot,76.0,65.0,100.0,100.0
872.88,1,Huskies,Huskies_D1,,1H,Pass,Simple pass,9.0,57.0,12.0,40.0
873.33,1,Opponent1,Opponent1_D4,,1H,Others on the ball,Touch,88.0,60.0,83.0,67.0
874.35,1,Opponent1,Opponent1_M3,,1H,Shot,Shot,83.0,67.0,100.0,100.0
875.23,1,Huskies,Huskies_D2,,1H,Others on the ball,Touch,11.0,46.0,41.0,13.0
876.59,1,Huskies,Huskies_F3,Huskies_M2,1H,Pass,Simple pass,41.0,13.0,37.0,25.0
877.62,1,Huskies,Huskies_M2,Huskies_F3,1H,Pass,Simple pass,37.0,25.0,44.0,11.0
879.95,1,Huskies,Huskies_F3,,1H,Pass,High pass,44.0,11.0,47.0,45.0
880.62,1,Opponent1,Opponent1_M3,,1H,Pass,Head pass,53.0,55.0,67.0,46.0
882.97,1,Huskies,Huskies_D2,,1H,Pass,Launch,33.0,54.0,61.0,21.0
885.82,1,Opponent1,Opponent1_D3,,1H,Duel,Air duel,39.0,79.0,48.0,57.0
885.86,1,Huskies,Huskies_M2,,1H,Duel,Air duel,61.0,21.0,52.0,43.0
886.66,1,Opponent1,Opponent1_M3,,1H,Duel,Air duel,48.0,57.0,57.0,60.0
887.05,1,Huskies,Huskies_M3,,1H,Duel,Air duel,52.0,43.0,43.0,40.0
888.41,1,Huskies,Huskies_D3,Huskies_F3,1H,Pass,High pass,43.0,40.0,76.0,8.0
